2026-03-29 11:54:58 | INFO     | app.main | 🚀 龙头战法Web平台启动中...
2026-03-29 11:54:58 | INFO     | app.scheduler.jobs | 初始化定时任务...
2026-03-29 11:54:58 | INFO     | app.scheduler.jobs | ✅ 定时任务初始化完成
2026-03-29 11:54:58 | INFO     | app.main | ✅ 定时任务调度器已启动
2026-03-29 11:55:05 | INFO     | app.main | 👋 龙头战法Web平台已关闭
2026-03-29 11:55:06 | INFO     | app.main | 🚀 龙头战法Web平台启动中...
2026-03-29 11:55:06 | INFO     | app.scheduler.jobs | 初始化定时任务...
2026-03-29 11:55:06 | INFO     | app.scheduler.jobs | ✅ 定时任务初始化完成
2026-03-29 11:55:06 | INFO     | app.main | ✅ 定时任务调度器已启动
2026-03-29 11:55:07 | INFO     | app.main | 👋 龙头战法Web平台已关闭
2026-03-29 11:55:07 | INFO     | app.main | 🚀 龙头战法Web平台启动中...
2026-03-29 11:55:07 | INFO     | app.scheduler.jobs | 初始化定时任务...
2026-03-29 11:55:07 | INFO     | app.scheduler.jobs | ✅ 定时任务初始化完成
2026-03-29 11:55:07 | INFO     | app.main | ✅ 定时任务调度器已启动
2026-03-29 11:56:23 | INFO     | app.main | 👋 龙头战法Web平台已关闭
2026-03-29 11:56:37 | INFO     | app.main | 🚀 龙头战法Web平台启动中...
2026-03-29 11:56:37 | INFO     | app.scheduler.jobs | 初始化定时任务...
2026-03-29 11:56:37 | INFO     | app.scheduler.jobs | ✅ 定时任务初始化完成
2026-03-29 11:56:37 | INFO     | app.main | ✅ 定时任务调度器已启动
2026-03-29 11:58:19 | INFO     | app.main | 🚀 龙头战法Web平台启动中...
2026-03-29 11:58:19 | INFO     | app.scheduler.jobs | 初始化定时任务...
2026-03-29 11:58:19 | INFO     | app.scheduler.jobs | ✅ 定时任务初始化完成
2026-03-29 11:58:19 | INFO     | app.main | ✅ 定时任务调度器已启动
2026-03-29 11:59:25 | INFO     | app.main | 👋 龙头战法Web平台已关闭
2026-03-29 11:59:25 | INFO     | app.main | 🚀 龙头战法Web平台启动中...
2026-03-29 11:59:25 | INFO     | app.scheduler.jobs | 初始化定时任务...
2026-03-29 11:59:25 | INFO     | app.scheduler.jobs | ✅ 定时任务初始化完成
2026-03-29 11:59:25 | INFO     | app.main | ✅ 定时任务调度器已启动
2026-03-29 11:59:27 | INFO     | app.main | 👋 龙头战法Web平台已关闭
2026-03-29 11:59:27 | INFO     | app.main | 🚀 龙头战法Web平台启动中...
2026-03-29 11:59:27 | INFO     | app.scheduler.jobs | 初始化定时任务...
2026-03-29 11:59:27 | INFO     | app.scheduler.jobs | ✅ 定时任务初始化完成
2026-03-29 11:59:27 | INFO     | app.main | ✅ 定时任务调度器已启动
2026-03-29 12:04:50 | INFO     | app.main | 👋 龙头战法Web平台已关闭
