## 五、A股投资标的全景

> **本章节覆盖有色金属行业主要A股上市公司（23家），采用双重分类：按层级分类 + 按细分领域分类**

### 5.1 分层级分类

#### 第一梯队：行业龙头（7家）

**入选标准**：市占率前三 / 营收前五 / 技术领先 / 全球竞争力强

| 公司 | 代码 | 主营业务 | 市占率 | 2024年营收 | 核心看点 | 详细分析 |
|------|------|----------|--------|-----------|----------|----------|
| **紫金矿业** | 601899 | 铜、金、锌 | 铜冶炼全球前五 | 3200亿+ | 全球矿业航母，海外资源丰富，铜金双龙头，2026年产金105吨、产铜120万吨 | [📄 查看详情](../公司分析/紫金矿业.md) |
| **江西铜业** | 600362 | 铜冶炼 | 国内16.0% | 3000亿+ | 国内铜冶炼绝对龙头，年产量超200万吨，全产业链一体化布局 | [📄 查看详情](../公司分析/江西铜业.md) |
| **北方稀土** | 600111 | 稀土 | 全球69.9% | 400亿+ | 全球稀土龙头，占中国稀土开采配额70%，磁材产能9.5万吨 | [📄 查看详情](../公司分析/北方稀土.md) |
| **洛阳钼业** | 603993 | 铜、钴、钼 | 钴全球第一 | 507亿 | 全球最大钴生产商，2026年产能10万吨，钼钨资源丰富 | [📄 查看详情](../公司分析/洛阳钼业.md) |
| **中国铝业** | 601600 | 铝 | 全球15% | 2500亿+ | 国内铝业龙头，氧化铝产能3000万吨（全球20.3%），电解铝746万吨 | [📄 查看详情](../公司分析/中国铝业.md) |
| **天齐锂业** | 002466 | 锂 | 全球前三 | 130亿+ | 全球锂业巨头，2026年产能10.4万吨LCE，格林布什矿三期扩建中 | [📄 查看详情](../公司分析/天齐锂业.md) |
| **山东黄金** | 600547 | 黄金 | 国内前三 | 1000亿+ | 国内黄金龙头，2025年净利46-49亿元（增长56%-66%） | [📄 查看详情](../公司分析/山东黄金.md) |

#### 第二梯队：重要企业（10家）

**入选标准**：细分领域龙头 / 区域龙头 / 快速成长 / 产业链关键环节

| 公司 | 代码 | 主营业务 | 市场地位 | 成长逻辑 | 详细分析 |
|------|------|----------|----------|----------|----------|
| 赣锋锂业 | 002460 | 锂 | 全球锂业前三 | 2026年产能10.6万吨LCE（CAGR 20%），Goulamina等项目放量 | [📄 查看详情](../公司分析/赣锋锂业.md) |
| 华友钴业 | 603799 | 钴、镍 | 国内钴冶炼龙头 | 2025年净利58.50-64.50亿（增40.80%-55.24%），钴镍一体化 | [📄 查看详情](../公司分析/华友钴业.md) |
| 盛和资源 | 600392 | 稀土 | 稀土冶炼分离龙头 | 六大稀土集团之一，冶炼分离产能持续扩张 | [📄 查看详情](../公司分析/盛和资源.md) |
| 铜陵有色 | 000630 | 铜冶炼 | 国内前三 | 年产铜80万吨以上，位居全球五强 | [📄 查看详情](../公司分析/铜陵有色.md) |
| 云南铜业 | 000878 | 铜冶炼 | 国内前五 | 年产铜100-200万吨，区域资源优势 | [📄 查看详情](../公司分析/云南铜业.md) |
| 西部矿业 | 601168 | 铜铅锌 | 西部资源龙头 | 玉龙铜矿新增资源量131.42万吨，铜锌储量增长快 | [📄 查看详情](../公司分析/西部矿业.md) |
| 云铝股份 | 000807 | 铝 | 水电铝龙头 | 水电铝成本优势，绿色能源转型受益 | [📄 查看详情](../公司分析/云铝股份.md) |
| 锡业股份 | 000960 | 锡、锌、铜、铟 | 全球锡龙头 | 锡金属资源66.85万吨，铟全球龙头，2025H1净利增32.76% | [📄 查看详情](../公司分析/锡业股份.md) |
| 驰宏锌锗 | 600497 | 铅锌锗 | 国内铅锌龙头 | 生产成本较低，近五年净利复合增长28.67% | [📄 查看详情](../公司分析/驰宏锌锗.md) |
| 中金岭南 | 000060 | 铅锌 | 国内铅锌前三 | 2024年产精矿铅锌26.50万吨，锌资源量713万吨 | [📄 查看详情](../公司分析/中金岭南.md) |

#### 第三梯队：潜力企业（6家）

**入选标准**：新进入者 / 转型升级 / 技术突破 / 细分领域专精

| 公司 | 代码 | 主营业务 | 潜力看点 | 风险提示 | 详细分析 |
|------|------|----------|----------|----------|----------|
| 中金黄金 | 600489 | 黄金 | 2025年净利48-54亿（增41.76%-59.48%），金价受益标的 | 金价波动风险 | [📄 查看详情](../公司分析/中金黄金.md) |
| 赤峰黄金 | 600988 | 黄金 | 2025年业绩增幅超50%，成本控制改善 | 金价波动风险 | [📄 查看详情](../公司分析/赤峰黄金.md) |
| 寒锐钴业 | 300618 | 钴 | 钴金属完整产业链，2026年后产能突破3万吨 | 钴价波动、刚果（金）政策风险 | [📄 查看详情](../公司分析/寒锐钴业.md) |
| 腾远钴业 | 301219 | 钴 | 年产能3.15万吨钴产品，刚果（金）配额受益 | 钴价波动、地缘政治风险 | [📄 查看详情](../公司分析/腾远钴业.md) |
| 盛新锂能 | 002240 | 锂 | 锂盐加工产能扩张，受益锂价反弹 | 锂价波动、产能过剩风险 | [📄 查看详情](../公司分析/盛新锂能.md) |
| 五矿稀土 | 000831 | 稀土 | 六大稀土集团之一，稀土价格弹性标的 | 稀土价格波动风险 | [📄 查看详情](../公司分析/五矿稀土.md) |

(后续细分领域、对比矩阵等内容省略,因为字符限制)
