🚀 同花顺日K采集: 5830 只, 保留最近 30 天
-------------------------------------------------------
  [100/5830] 81成功 19失败 共入库2430行 | 104s ETA 99.7min
  [200/5830] 161成功 39失败 共入库4830行 | 247s ETA 115.9min
  [300/5830] 239成功 61失败 共入库7170行 | 379s ETA 116.5min
  [500/5830] 411成功 89失败 共入库12330行 | 563s ETA 99.9min
  [600/5830] 510成功 90失败 共入库15298行 | 597s ETA 86.7min
  [700/5830] 605成功 95失败 共入库18148行 | 650s ETA 79.4min
  [800/5830] 699成功 101失败 共入库20968行 | 696s ETA 73.0min
  [900/5830] 795成功 105失败 共入库23848行 | 743s ETA 67.8min
  [1000/5830] 889成功 111失败 共入库26668行 | 781s ETA 62.9min
  [1100/5830] 980成功 120失败 共入库29398行 | 848s ETA 60.8min
  [1200/5830] 1074成功 126失败 共入库32218行 | 888s ETA 57.1min
  [1400/5830] 1258成功 142失败 共入库37738行 | 1001s ETA 52.8min
  [1500/5830] 1358成功 142失败 共入库40738行 | 1035s ETA 49.8min
  [1600/5830] 1458成功 142失败 共入库43738行 | 1069s ETA 47.1min
  [1700/5830] 1554成功 146失败 共入库46618行 | 1129s ETA 45.7min
  [1800/5830] 1647成功 153失败 共入库49408行 | 1181s ETA 44.1min
  [1900/5830] 1741成功 159失败 共入库52228行 | 1241s ETA 42.8min
  [2000/5830] 1828成功 172失败 共入库54838行 | 1300s ETA 41.5min
  [2100/5830] 1923成功 177失败 共入库57688行 | 1347s ETA 39.9min
  [2200/5830] 2021成功 179失败 共入库60628行 | 1381s ETA 38.0min
  [2300/5830] 2120成功 180失败 共入库63598行 | 1414s ETA 36.2min
  [2400/5830] 2219成功 181失败 共入库66568行 | 1449s ETA 34.5min
  [2500/5830] 2318成功 182失败 共入库69538行 | 1483s ETA 32.9min
  [2600/5830] 2418成功 182失败 共入库72538行 | 1516s ETA 31.4min
  [2700/5830] 2518成功 182失败 共入库75538行 | 1550s ETA 29.9min
  [2800/5830] 2618成功 182失败 共入库78538行 | 1584s ETA 28.6min
  [2900/5830] 2718成功 182失败 共入库81538行 | 1617s ETA 27.2min
  [3000/5830] 2818成功 182失败 共入库84523行 | 1651s ETA 26.0min
  [3100/5830] 2914成功 186失败 共入库87378行 | 1710s ETA 25.1min
  [3200/5830] 2995成功 205失败 共入库89808行 | 1825s ETA 25.0min
  [3300/5830] 3082成功 218失败 共入库92418行 | 1905s ETA 24.3min
  [3400/5830] 3166成功 234失败 共入库94938行 | 1988s ETA 23.7min
  [3500/5830] 3257成功 243失败 共入库97668行 | 2055s ETA 22.8min
  [3600/5830] 3350成功 250失败 共入库100458行 | 2121s ETA 21.9min
  [3700/5830] 3429成功 271失败 共入库102828行 | 2277s ETA 21.8min
  [3800/5830] 3514成功 286失败 共入库105378行 | 2375s ETA 21.1min
  [3900/5830] 3598成功 302失败 共入库107898行 | 2485s ETA 20.5min
  [4000/5830] 3695成功 305失败 共入库110808行 | 2534s ETA 19.3min
  [4100/5830] 3791成功 309失败 共入库113688行 | 2585s ETA 18.2min
  [4200/5830] 3889成功 311失败 共入库116628行 | 2617s ETA 16.9min
  [4300/5830] 3987成功 313失败 共入库119568行 | 2658s ETA 15.8min
  [4400/5830] 4086成功 314失败 共入库122538行 | 2697s ETA 14.6min
  [4500/5830] 4185成功 315失败 共入库125495行 | 2728s ETA 13.4min
  [4600/5830] 4283成功 317失败 共入库128428行 | 2773s ETA 12.4min
  [4700/5830] 4383成功 317失败 共入库131428行 | 2805s ETA 11.2min
  [4800/5830] 4481成功 319失败 共入库134368行 | 2849s ETA 10.2min
  [4900/5830] 4581成功 319失败 共入库137368行 | 2881s ETA 9.1min
  [5000/5830] 4680成功 320失败 共入库140338行 | 2920s ETA 8.1min
  [5100/5830] 4780成功 320失败 共入库143338行 | 2953s ETA 7.0min
  [5200/5830] 4880成功 320失败 共入库146338行 | 2985s ETA 6.0min
  [5300/5830] 4980成功 320失败 共入库149338行 | 3018s ETA 5.0min
  [5400/5830] 5079成功 321失败 共入库152308行 | 3057s ETA 4.1min
  [5500/5830] 5179成功 321失败 共入库155308行 | 3090s ETA 3.1min
  [5600/5830] 5273成功 327失败 共入库158105行 | 3164s ETA 2.2min
  [5700/5830] 5373成功 327失败 共入库161095行 | 3198s ETA 1.2min
  [5800/5830] 5472成功 328失败 共入库164065行 | 3232s ETA 0.3min
-------------------------------------------------------
✅ 完成: 5502成功 328失败 | 入库 164965 行 | 交易日历 +30 天 | 耗时 54.0min
