序号,公司,代码,最新价(元),涨跌幅(%),PE(动态),PB,总市值(亿),流通市值(亿),换手率(%),成交额(亿)
1,特变电工,600089,-,-,21.31,-,1558.28,-,-,65.66
2,明阳智能,601615,-,-,48.80,-,498.21,-,-,25.71
3,协鑫能科,002015,-,-,34.12,-,346.74,-,-,72.52
4,阳光电源,300274,-,-,22.65,-,3588.73,-,-,175.84
5,金盘科技,688676,-,-,65.88,-,434.77,-,-,15.08
6,国电南瑞,600406,-,-,37.49,-,2427.20,-,-,41.32
7,大金重工,002487,-,-,42.38,-,467.60,-,-,16.41
8,德业股份,605117,-,-,39.50,-,1235.99,-,-,45.28
9,平高电气,600312,-,-,24.64,-,322.68,-,-,10.95
10,许继电气,000400,-,-,27.41,-,329.42,-,-,14.55
11,科华数据,002335,-,-,76.72,-,352.39,-,-,41.94
12,绿发电力,000537,-,-,24.07,-,258.53,-,-,9.14
13,宁德时代,300750,-,-,25.00,-,18050.10,-,-,115.38
14,南网能源,003035,-,-,87.96,-,401.52,-,-,24.04
15,保变电气,600550,-,-,169.03,-,328.90,-,-,19.56
16,德力佳,603092,-,-,35.16,-,295.28,-,-,5.03
17,中国西电,601179,-,-,76.35,-,955.46,-,-,70.86
18,金开新能,600821,-,-,29.01,-,217.10,-,-,48.27
19,伊戈尔,002922,-,-,73.47,-,174.45,-,-,16.13
20,节能风电,601016,-,-,28.52,-,285.31,-,-,34.70
21,三一重工,600031,-,-,20.79,-,1977.85,-,-,22.28
22,海力风电,301155,-,-,42.44,-,196.17,-,-,11.54
23,东方电缆,603606,-,-,37.44,-,456.23,-,-,18.13
